loan_id,farmer_id,region,land_holding_acres,prior_loan_count,prior_defaults,crop_type,season,loan_amount,interest_rate,loan_to_land_ratio,repayment_status,days_overdue
L100001,F20001,Baramati,2.7,0,0,Sugarcane,Rabi,42200,7.58,15630,Defaulted,155
L100002,F20002,Phaltan,2,2,0,Jowar,Kharif,24300,7.28,12150,"Paid On Time",0
L100003,F20003,Phaltan,1.9,2,0,Cotton,Rabi,15000,9.44,7895,"Paid On Time",0
L100004,F20004,Daund,1.6,2,0,Onion,Kharif,17000,11.02,10625,"Paid On Time",0
L100005,F20005,Daund,5.4,4,0,Cotton,Kharif,64500,9.66,11944,"Paid On Time",0
L100006,F20006,Malshiras,3.5,1,1,Soybean,Kharif,39200,8.47,11200,"Paid On Time",0
L100007,F20007,Baramati,4.3,0,0,Cotton,Kharif,49500,7.08,11512,"Paid Late",38
L100008,F20008,Phaltan,1.3,2,0,Wheat,Kharif,15000,11.7,11538,"Paid On Time",0
L100009,F20009,Indapur,3.6,1,0,Jowar,Kharif,38600,8.06,10722,"Paid On Time",0
L100010,F20010,Baramati,0.8,1,0,Soybean,Kharif,15000,9.87,18750,"Paid On Time",0
L100011,F20011,Daund,6.9,4,2,Cotton,Rabi,98200,7.08,14232,"Paid On Time",0
L100012,F20012,Malshiras,4.9,1,0,Wheat,Kharif,41500,7.49,8469,"Paid On Time",0
L100013,F20013,Phaltan,3.2,0,0,Sugarcane,Kharif,39000,7.85,12188,"Paid Late",19
L100014,F20014,Phaltan,0.7,2,1,Wheat,Kharif,15000,7.56,21429,"Paid On Time",0
L100015,F20015,Phaltan,1.8,2,0,Wheat,Kharif,15000,9.65,8333,"Paid On Time",0
L100016,F20016,Phaltan,1.4,2,0,Cotton,Kharif,23400,8.99,16714,"Paid On Time",0
L100017,F20017,Daund,3.1,0,0,Wheat,Rabi,29400,11.01,9484,"Paid On Time",0
L100018,F20018,Baramati,4.4,1,1,Wheat,Rabi,55200,7.58,12545,"Paid On Time",0
L100019,F20019,Malshiras,4.2,2,0,Sugarcane,Kharif,52200,9.16,12429,"Paid On Time",0
L100020,F20020,Daund,8.4,0,0,Cotton,Kharif,64500,9.14,7679,"Paid On Time",0
L100021,F20021,Daund,3.4,3,1,Soybean,Kharif,33200,8.15,9765,"Paid On Time",0
L100022,F20022,Indapur,7.2,3,0,Jowar,Rabi,59000,7.48,8194,"Paid On Time",0
L100023,F20023,Baramati,2.9,0,0,Soybean,Rabi,46100,7.05,15897,"Paid On Time",0
L100024,F20024,Malshiras,4.7,4,1,Soybean,Kharif,71300,7.09,15170,Defaulted,142
L100025,F20025,Phaltan,3,0,0,Cotton,Kharif,24400,8.99,8133,Defaulted,233
L100026,F20026,Phaltan,4.2,0,0,Sugarcane,Rabi,43500,7.27,10357,"Paid On Time",0
L100027,F20027,Daund,3.4,1,0,Sugarcane,Kharif,40800,8.97,12000,"Paid On Time",0
L100028,F20028,Malshiras,2.2,1,0,Cotton,Kharif,18700,9.19,8500,"Paid On Time",0
L100029,F20029,Daund,4.3,3,1,Sugarcane,Rabi,37100,9.23,8628,"Paid On Time",0
L100030,F20030,Daund,4.9,1,0,Sugarcane,Rabi,57600,7.96,11755,"Paid On Time",0
L100031,F20031,Daund,5.5,2,0,Wheat,Kharif,42300,9.49,7691,"Paid On Time",0
L100032,F20032,Indapur,3.9,0,0,Wheat,Rabi,71400,8.96,18308,Defaulted,251
L100033,F20033,Baramati,0.7,5,0,Sugarcane,Kharif,15000,11.95,21429,Defaulted,369
L100034,F20034,Daund,4.4,2,0,Wheat,Kharif,60000,7.23,13636,"Paid Late",18
L100035,F20035,Malshiras,1.5,0,0,Sugarcane,Rabi,15000,7.27,10000,Defaulted,139
L100036,F20036,Baramati,3.8,2,0,Cotton,Rabi,28600,11.12,7526,"Paid On Time",0
L100037,F20037,Malshiras,4.1,1,0,Onion,Rabi,39700,8.33,9683,"Paid On Time",0
L100038,F20038,Malshiras,1.1,2,1,Soybean,Rabi,15000,7.92,13636,Defaulted,292
L100039,F20039,Indapur,3.5,2,0,Sugarcane,Rabi,39800,11.37,11371,"Paid On Time",0
L100040,F20040,Phaltan,1.3,1,0,Cotton,Rabi,15000,9.66,11538,"Paid On Time",0
L100041,F20041,Baramati,0.7,0,0,Wheat,Rabi,15000,10.08,21429,Defaulted,314
L100042,F20042,Phaltan,1.3,2,1,Cotton,Kharif,15000,7.04,11538,"Paid Late",16
L100043,F20043,Phaltan,3.2,1,0,Onion,Rabi,34100,8.3,10656,"Paid On Time",0
L100044,F20044,Indapur,3.1,2,0,Soybean,Kharif,20800,8.3,6710,"Paid On Time",0
L100045,F20045,Baramati,2.5,2,0,Sugarcane,Rabi,39700,10.8,15880,Defaulted,205
L100046,F20046,Malshiras,4.8,1,0,Soybean,Kharif,49200,8.93,10250,"Paid Late",8
L100047,F20047,Daund,3,1,0,Wheat,Kharif,30300,9.89,10100,"Paid On Time",0
L100048,F20048,Malshiras,4.4,1,0,Soybean,Rabi,73700,11.66,16750,"Paid On Time",0
L100049,F20049,Phaltan,5.4,2,0,Onion,Rabi,69900,11.92,12944,"Paid On Time",0
L100050,F20050,Phaltan,12.3,2,0,Onion,Kharif,155400,7.64,12634,"Paid On Time",0
L100051,F20051,Phaltan,3.3,3,0,Sugarcane,Kharif,35100,9.78,10636,"Paid On Time",0
L100052,F20052,Baramati,6.9,1,0,Sugarcane,Rabi,69400,10.5,10058,Defaulted,293
L100053,F20053,Indapur,4,3,0,Cotton,Rabi,51600,10.91,12900,"Paid On Time",0
L100054,F20054,Daund,4.1,1,0,Wheat,Kharif,53200,11.6,12976,"Paid On Time",0
L100055,F20055,Daund,3.3,1,0,Wheat,Kharif,42600,10.64,12909,"Paid On Time",0
L100056,F20056,Baramati,3.8,2,0,Cotton,Kharif,65200,10.45,17158,"Paid Late",37
L100057,F20057,Daund,3,3,0,Onion,Kharif,35300,7.27,11767,"Paid Late",50
L100058,F20058,Baramati,6.2,0,0,Cotton,Kharif,64200,9.72,10355,"Paid Late",53
L100059,F20059,Phaltan,2.2,1,0,Jowar,Rabi,27900,9.99,12682,"Paid Late",59
L100060,F20060,Phaltan,1.3,1,0,Jowar,Kharif,20200,10.48,15538,"Paid Late",23
L100061,F20061,Malshiras,2.5,2,0,Sugarcane,Kharif,35800,9.92,14320,"Paid On Time",0
L100062,F20062,Phaltan,2.3,2,1,Cotton,Kharif,36800,9.05,16000,"Paid On Time",0
L100063,F20063,Indapur,2.5,2,0,Cotton,Kharif,30300,9.44,12120,Defaulted,300
L100064,F20064,Malshiras,3.2,3,0,Onion,Kharif,55800,11.84,17438,"Paid On Time",0
L100065,F20065,Daund,2.5,0,0,Cotton,Kharif,44800,8.65,17920,"Paid Late",18
L100066,F20066,Indapur,3.2,0,0,Jowar,Kharif,44400,10.92,13875,"Paid On Time",0
L100067,F20067,Malshiras,2.5,3,0,Soybean,Rabi,20000,10.04,8000,"Paid Late",6
L100068,F20068,Indapur,4.5,3,0,Soybean,Kharif,52300,9.22,11622,"Paid On Time",0
L100069,F20069,Baramati,12.3,1,0,Onion,Rabi,107000,9.07,8699,"Paid Late",43
L100070,F20070,Daund,4,0,0,Soybean,Rabi,31900,9.69,7975,"Paid On Time",0
L100071,F20071,Phaltan,2.5,2,0,Wheat,Kharif,28700,11,11480,"Paid On Time",0
L100072,F20072,Baramati,0.7,2,0,Soybean,Kharif,15000,7.61,21429,"Paid Late",52
L100073,F20073,Daund,9.9,2,1,Sugarcane,Rabi,146400,11.55,14788,Defaulted,201
L100074,F20074,Baramati,4.1,1,0,Sugarcane,Kharif,43000,10.87,10488,"Paid Late",56
L100075,F20075,Phaltan,3.1,0,0,Cotton,Kharif,31900,8.75,10290,"Paid On Time",0
L100076,F20076,Daund,0.8,2,1,Wheat,Rabi,15000,7.05,18750,"Paid Late",29
L100077,F20077,Indapur,3.2,3,0,Cotton,Rabi,44300,7.53,13844,"Paid On Time",0
L100078,F20078,Indapur,3.8,2,0,Soybean,Rabi,36000,7.72,9474,"Paid On Time",0
L100079,F20079,Daund,2.5,1,0,Sugarcane,Kharif,27900,7.52,11160,"Paid On Time",0
L100080,F20080,Phaltan,1.4,2,0,Wheat,Kharif,15000,7.51,10714,"Paid On Time",0
L100081,F20081,Malshiras,1.4,1,0,Jowar,Kharif,17600,11.8,12571,"Paid On Time",0
L100082,F20082,Daund,10,2,0,Wheat,Kharif,106600,10.29,10660,"Paid On Time",0
L100083,F20083,Baramati,3.7,1,0,Onion,Kharif,62000,11.1,16757,"Paid On Time",0
L100084,F20084,Malshiras,2.5,2,0,Sugarcane,Kharif,24000,9.81,9600,"Paid On Time",0
L100085,F20085,Phaltan,3.6,3,0,Sugarcane,Kharif,61900,10.1,17194,"Paid Late",17
L100086,F20086,Phaltan,3.4,4,1,Soybean,Kharif,33700,11.4,9912,Defaulted,298
L100087,F20087,Baramati,1.3,4,0,Cotton,Kharif,16200,8.31,12462,"Paid On Time",0
L100088,F20088,Indapur,6,1,0,Wheat,Kharif,52700,10.47,8783,"Paid On Time",0
L100089,F20089,Phaltan,3.1,0,0,Jowar,Rabi,25900,11.5,8355,"Paid On Time",0
L100090,F20090,Malshiras,3.7,3,0,Sugarcane,Kharif,61900,11.68,16730,"Paid Late",19
L100091,F20091,Daund,8,0,0,Onion,Rabi,126000,9.22,15750,"Paid Late",43
L100092,F20092,Malshiras,1.4,1,1,Sugarcane,Kharif,15000,11.28,10714,Defaulted,294
L100093,F20093,Malshiras,2.1,2,0,Wheat,Kharif,22600,9.52,10762,"Paid Late",37
L100094,F20094,Indapur,4.2,2,0,Soybean,Rabi,32600,8.29,7762,"Paid On Time",0
L100095,F20095,Malshiras,5.9,2,0,Wheat,Rabi,77400,8.25,13119,"Paid On Time",0
L100096,F20096,Indapur,2.3,0,0,Sugarcane,Kharif,28100,9.26,12217,"Paid On Time",0
L100097,F20097,Indapur,2.4,4,0,Onion,Kharif,23400,8.29,9750,"Paid On Time",0
L100098,F20098,Phaltan,5.1,2,0,Onion,Rabi,43000,7.15,8431,Defaulted,206
L100099,F20099,Phaltan,11.7,1,0,Soybean,Kharif,111700,7.53,9547,Defaulted,376
L100100,F20100,Baramati,3.6,1,0,Soybean,Kharif,64500,11.25,17917,"Paid On Time",0
L100101,F20101,Malshiras,2.1,1,0,Wheat,Kharif,21700,11.41,10333,"Paid On Time",0
L100102,F20102,Baramati,1.7,2,0,Wheat,Kharif,15000,11.37,8824,Defaulted,315
L100103,F20103,Malshiras,3.2,2,0,Soybean,Rabi,47700,9.77,14906,"Paid On Time",0
L100104,F20104,Baramati,5.7,0,0,Wheat,Rabi,68400,11.68,12000,"Paid On Time",0
L100105,F20105,Phaltan,14.8,1,0,Jowar,Kharif,110000,9.5,7432,"Paid Late",31
L100106,F20106,Phaltan,2.9,0,0,Wheat,Kharif,32300,9.31,11138,"Paid On Time",0
L100107,F20107,Phaltan,3.6,5,2,Sugarcane,Kharif,31400,9.37,8722,"Paid On Time",0
L100108,F20108,Phaltan,9,3,0,Onion,Rabi,120700,8.27,13411,"Paid On Time",0
L100109,F20109,Daund,4.2,1,0,Cotton,Rabi,62600,10.07,14905,Defaulted,350
L100110,F20110,Phaltan,4,1,0,Sugarcane,Kharif,45000,9.24,11250,"Paid Late",21
L100111,F20111,Indapur,8,2,0,Onion,Rabi,79100,11.87,9888,"Paid Late",52
L100112,F20112,Phaltan,3.7,0,0,Cotton,Kharif,45000,7.86,12162,"Paid On Time",0
